state_name,district_name,district_key,year,year_start,shannon_index,simpson_index,crop_richness,total_cropped_area,dominant_crop,dominant_crop_share,top3_crops_share
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2017-18,2017,2.0681,0.8234,27,707903.0,Rice,0.286,0.6305
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2018-19,2018,1.961,0.7944,28,713161.0,Rice,0.3461,0.708
Andhra Pradesh,Guntur,ANDHRA PRADESH|GUNTUR,2019-20,2019,1.9426,0.791,30,713155.0,Rice,0.3459,0.7092
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,1997-98,1997,1.6701,0.7333,18,301300.0,Groundnut,0.4325,0.8158
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,1998-99,1998,1.7016,0.7408,19,387400.0,Groundnut,0.4241,0.803
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,1999-00,1999,1.8467,0.7556,20,368014.0,Groundnut,0.4342,0.7293
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2000-01,2000,2.0267,0.7752,30,418465.0,Groundnut,0.4226,0.658
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2001-02,2001,2.0331,0.8005,29,387787.0,Groundnut,0.361,0.6669
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2002-03,2002,2.0707,0.8172,28,383334.0,Groundnut,0.277,0.6857
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2003-04,2003,2.0381,0.8095,28,400765.0,Groundnut,0.3229,0.6738
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2004-05,2004,1.7555,0.7321,31,483448.0,Groundnut,0.4529,0.7625
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2005-06,2005,1.7893,0.736,31,457574.0,Groundnut,0.4531,0.7685
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2006-07,2006,2.1073,0.836,29,325949.0,Sunflower,0.2276,0.6399
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2007-08,2007,1.6845,0.7468,14,412000.0,Groundnut,0.4199,0.7427
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2008-09,2008,1.933,0.8019,30,441488.0,Groundnut,0.3194,0.693
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2009-10,2009,2.0241,0.8149,30,408710.0,Groundnut,0.3184,0.6674
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2010-11,2010,2.0429,0.809,34,469501.0,Groundnut,0.3421,0.6496
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2011-12,2011,2.252,0.8547,32,367938.0,Gram,0.2456,0.5694
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2012-13,2012,2.1333,0.8252,31,351221.0,Gram,0.3189,0.6463
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2013-14,2013,2.2611,0.8474,32,356945.0,Gram,0.2719,0.6143
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2014-15,2014,2.4575,0.8796,35,289516.0,Gram,0.2355,0.5169
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2015-16,2015,2.5492,0.8922,32,363662.0,Gram,0.2178,0.4678
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2016-17,2016,2.2922,0.8579,37,385977.0,Gram,0.2125,0.5899
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2017-18,2017,2.2478,0.8478,33,346651.0,Gram,0.2802,0.5888
Andhra Pradesh,Kadapa,ANDHRA PRADESH|KADAPA,2018-19,2018,2.2184,0.8196,34,283485.0,Gram,0.3581,0.6281
