div_key,shrug_key,method,score,n_sharing_parent
JAMMU AND KASHMIR|ANANTNAG,JAMMU KASHMIR|ANANTNAG,exact,1.0,1.0
JAMMU AND KASHMIR|BADGAM,JAMMU KASHMIR|BADGAM,exact,1.0,1.0
JAMMU AND KASHMIR|BANDIPORA,JAMMU KASHMIR|BANDIPORE,fuzzy_auto,0.889,1.0
JAMMU AND KASHMIR|BARAMULLA,JAMMU KASHMIR|BARAMULA,fuzzy_auto,0.941,1.0
JAMMU AND KASHMIR|DODA,JAMMU KASHMIR|DODA,exact,1.0,1.0
JAMMU AND KASHMIR|GANDERBAL,JAMMU KASHMIR|GANDERBAL,exact,1.0,1.0
JAMMU AND KASHMIR|JAMMU,JAMMU KASHMIR|JAMMU,exact,1.0,1.0
JAMMU AND KASHMIR|KARGIL,JAMMU KASHMIR|KARGIL,exact,1.0,2.0
JAMMU AND KASHMIR|KATHUA,JAMMU KASHMIR|KATHUA,exact,1.0,1.0
JAMMU AND KASHMIR|KISHTWAR,JAMMU KASHMIR|KISHTWAR,exact,1.0,1.0
JAMMU AND KASHMIR|KULGAM,JAMMU KASHMIR|KULGAM,exact,1.0,1.0
JAMMU AND KASHMIR|KUPWARA,JAMMU KASHMIR|KUPWARA,exact,1.0,1.0
JAMMU AND KASHMIR|POONCH,JAMMU KASHMIR|PUNCH,parent_map,1.0,1.0
JAMMU AND KASHMIR|PULWAMA,JAMMU KASHMIR|PULWAMA,exact,1.0,1.0
JAMMU AND KASHMIR|RAJAURI,JAMMU KASHMIR|RAJOURI,fuzzy_review,0.857,1.0
JAMMU AND KASHMIR|RAMBAN,JAMMU KASHMIR|RAMBAN,exact,1.0,1.0
JAMMU AND KASHMIR|REASI,JAMMU KASHMIR|REASI,exact,1.0,1.0
JAMMU AND KASHMIR|SAMBA,JAMMU KASHMIR|SAMBA,exact,1.0,1.0
JAMMU AND KASHMIR|SHOPIAN,JAMMU KASHMIR|SHUPIYAN,fuzzy_review,0.8,1.0
JAMMU AND KASHMIR|SRINAGAR,JAMMU KASHMIR|SRINAGAR,exact,1.0,1.0
JAMMU AND KASHMIR|UDHAMPUR,JAMMU KASHMIR|UDHAMPUR,exact,1.0,1.0
JHARKHAND|BOKARO,JHARKHAND|BOKARO,exact,1.0,1.0
JHARKHAND|CHATRA,JHARKHAND|CHATRA,exact,1.0,1.0
JHARKHAND|DEOGHAR,JHARKHAND|DEOGHAR,exact,1.0,1.0
JHARKHAND|DHANBAD,JHARKHAND|DHANBAD,exact,1.0,1.0
JHARKHAND|DUMKA,JHARKHAND|DUMKA,exact,1.0,1.0
JHARKHAND|EAST SINGHBUM,JHARKHAND|PURBI SINGHBHUM,parent_map,1.0,1.0
JHARKHAND|GARHWA,JHARKHAND|GARHWA,exact,1.0,1.0
JHARKHAND|GIRIDIH,JHARKHAND|GIRIDIH,exact,1.0,1.0
JHARKHAND|GODDA,JHARKHAND|GODDA,exact,1.0,1.0
JHARKHAND|GUMLA,JHARKHAND|GUMLA,exact,1.0,1.0
JHARKHAND|HAZARIBAGH,JHARKHAND|HAZARIBAGH,exact,1.0,1.0
JHARKHAND|JAMTARA,JHARKHAND|JAMTARA,exact,1.0,1.0
JHARKHAND|KHUNTI,JHARKHAND|KHUNTI,exact,1.0,1.0
JHARKHAND|KODERMA,JHARKHAND|KODARMA,fuzzy_review,0.857,1.0
JHARKHAND|LATEHAR,JHARKHAND|LATEHAR,exact,1.0,1.0
JHARKHAND|LOHARDAGA,JHARKHAND|LOHARDAGA,exact,1.0,1.0
JHARKHAND|PAKUR,JHARKHAND|PAKUR,exact,1.0,1.0
JHARKHAND|PALAMU,JHARKHAND|PALAMU,exact,1.0,1.0
JHARKHAND|RAMGARH,JHARKHAND|RAMGARH,exact,1.0,1.0
JHARKHAND|RANCHI,JHARKHAND|RANCHI,exact,1.0,1.0
JHARKHAND|SAHEBGANJ,JHARKHAND|SAHIBGANJ,fuzzy_auto,0.889,1.0
JHARKHAND|SARAIKELA KHARSAWAN,JHARKHAND|SARAIKELA KHARSAWAN,exact,1.0,1.0
JHARKHAND|SIMDEGA,JHARKHAND|SIMDEGA,exact,1.0,1.0
JHARKHAND|WEST SINGHBHUM,JHARKHAND|PASHCHIMI SINGHBHUM,parent_map,1.0,1.0
